genero,sede,ingreso
hombre,Buenos Aires,509231.9179707255
mujer,Mendoza,45334.54950254424
mujer,Mendoza,28172.66935129929
hombre,Buenos Aires,137966.47033036986
hombre,Córdoba,180776.1594859521
mujer,San Luis,48793.688291548904
hombre,Mendoza,61844.99454145943
hombre,Santa Fe,74033.17342001946
hombre,San Luis,96114.37286749615
hombre,Buenos Aires,296288.30099068495
mujer,Mendoza,269147.6604220321
mujer,Buenos Aires,96329.99292330656
mujer,Córdoba,104572.0656664508
hombre,Buenos Aires,193439.11346612603
mujer,Buenos Aires,594119.0881635958
hombre,Buenos Aires,243490.5581648993
hombre,Mendoza,36408.64187843675
hombre,San Luis,49263.438968357514
otros,Buenos Aires,8620.832494627064
mujer,Buenos Aires,98092.16275451747
hombre,Córdoba,245173.7338136615
hombre,Buenos Aires,108129.80495517809
mujer,Mendoza,27229.079872080387
hombre,San Luis,28520.866519635067
mujer,Córdoba,174633.82387364734
mujer,Buenos Aires,87016.3897658433
mujer,Santa Fe,83914.02078266359
mujer,Córdoba,49238.37134359039
mujer,Buenos Aires,61980.53493799724
hombre,Buenos Aires,159842.8221243711
mujer,Buenos Aires,30481.82264180264
mujer,Córdoba,87782.12551093491
hombre,San Luis,48133.34077572117
hombre,Mendoza,38610.73358875589
mujer,Buenos Aires,199633.56939838952
hombre,Córdoba,169662.98042791046
hombre,San Luis,82712.98921783685
hombre,Buenos Aires,115251.1690640467
mujer,Mendoza,66757.02185050111
hombre,Buenos Aires,66279.8104261445
mujer,San Luis,26832.787124067836
hombre,Córdoba,508929.77332223614
hombre,Buenos Aires,189138.15718694375
hombre,Córdoba,198866.9857302596
hombre,Mendoza,89900.81589058535
hombre,Buenos Aires,324235.68234234606
hombre,Córdoba,226644.73007300397
mujer,Mendoza,75243.14330993251
mujer,Santa Fe,300567.22888205375
hombre,Buenos Aires,272783.7079690749
hombre,Buenos Aires,362813.61498472
mujer,Buenos Aires,299882.18556454673
hombre,Mendoza,73760.54807685202
mujer,San Luis,41729.06550278096
mujer,Buenos Aires,68124.67904435124
mujer,Córdoba,41526.350535407946
mujer,Córdoba,64599.86286979771
mujer,Mendoza,24474.218755768885
hombre,Buenos Aires,32731.25669048449
hombre,Santa Fe,28317.92984209669
mujer,Buenos Aires,56713.55258705723
hombre,Córdoba,193367.66074125626
mujer,Buenos Aires,110505.3659000767
mujer,Buenos Aires,137586.61767756476
mujer,Mendoza,66442.29773842938
hombre,Córdoba,64850.02908380977
mujer,San Luis,49497.12129253151
mujer,Mendoza,110221.3422235371
hombre,Buenos Aires,295282.6642584989
mujer,Mendoza,116375.222877179
hombre,Buenos Aires,446323.37704786693
mujer,Mendoza,75868.86721185253
hombre,Córdoba,133272.0699217584
mujer,Buenos Aires,263524.62325791485
mujer,Córdoba,45059.10667287476
mujer,Buenos Aires,68799.74717475237
hombre,Buenos Aires,140482.35877304847
hombre,Santa Fe,36915.290328095456
mujer,Buenos Aires,60791.570829451695
hombre,Córdoba,203764.34835733921
hombre,Córdoba,61277.441900334044
mujer,Córdoba,47377.942279877694
hombre,Buenos Aires,53884.907235515064
mujer,Córdoba,52039.8853514697
mujer,Buenos Aires,105636.65862057313
hombre,San Luis,135103.41979485736
mujer,Buenos Aires,28974.947928328223
hombre,Buenos Aires,539384.3952374764
mujer,Santa Fe,33898.784973158385
mujer,Córdoba,50922.26979424662
mujer,Mendoza,332202.53159058484
mujer,San Luis,76926.97143761716
mujer,San Luis,49257.642624051434
hombre,Santa Fe,44258.17293466104
hombre,Córdoba,106510.78359139278
hombre,Mendoza,85185.62619815726
hombre,San Luis,21672.326263622268
mujer,Buenos Aires,58059.384463296716
mujer,Buenos Aires,72113.70441013046
hombre,Buenos Aires,40268.21800370113
hombre,San Luis,166419.5711262436
hombre,Buenos Aires,146346.08915028194
mujer,Córdoba,99975.28996348183
mujer,Mendoza,85208.37177885484
otros,San Luis,5013.361316943319
hombre,Córdoba,117921.45616734712
mujer,Santa Fe,26987.90781767608
mujer,Córdoba,808533.9660634338
mujer,San Luis,90784.59506397357
hombre,Buenos Aires,48908.6868009706
hombre,Santa Fe,70054.7117069542
otros,Córdoba,122265.24680157729
hombre,San Luis,32818.52759866546
mujer,Buenos Aires,65623.58144529954
mujer,Córdoba,41637.62785321773
mujer,Santa Fe,32081.261555356377
mujer,Buenos Aires,194516.14766788163
hombre,Mendoza,75630.88631288841
mujer,Mendoza,15770.006124623074
mujer,Buenos Aires,118287.5167028726
hombre,Córdoba,88613.53767740398
otros,Buenos Aires,41683.68215643692
hombre,Buenos Aires,93521.88515212869
mujer,Córdoba,27347.217707528733
mujer,Mendoza,107477.8787922871
hombre,Buenos Aires,295162.62334574095
mujer,Mendoza,61394.05710766539
hombre,Córdoba,54504.22465406901
mujer,Buenos Aires,66769.7202417747
mujer,Mendoza,65630.24611079975
hombre,Mendoza,150324.47015433785
